epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,387.808,1.22554,0.76536,1.00459,0.03421,0.89203,0.79889,0.89487,0.59449,1.01883,0.62335,1.01715,0.01747,0.000666301,0.000666301,0.000666301
2,735.497,1.28938,0.79822,1.0266,0.03903,0.89368,0.77575,0.87632,0.5815,1.06336,0.71153,1.02739,0.02048,0.00130657,0.00130657,0.00130657
3,1081.98,1.30581,0.82403,1.02813,0.04117,0.89216,0.74924,0.86414,0.5801,1.07779,0.73435,1.07816,0.02166,0.00192045,0.00192045,0.00192045
4,1428.37,1.32281,0.82484,1.04606,0.0398,0.8828,0.75194,0.8564,0.57031,1.07665,0.71551,1.0676,0.02177,0.0018812,0.0018812,0.0018812
5,1780.93,1.29166,0.82135,1.04306,0.0383,0.87493,0.7832,0.8721,0.56212,1.13079,0.72058,1.06677,0.01998,0.0018416,0.0018416,0.0018416
6,2160.12,1.30996,0.80216,1.05146,0.04055,0.88174,0.74915,0.85429,0.57031,1.08763,0.69299,1.06271,0.0226,0.001802,0.001802,0.001802
7,2547.33,1.32407,0.81054,1.04317,0.04063,0.87666,0.77271,0.86961,0.57768,1.07158,0.70316,1.06224,0.02134,0.0017624,0.0017624,0.0017624
8,2926.68,1.29571,0.79309,1.03728,0.03829,0.87195,0.76004,0.86512,0.5698,1.09355,0.72283,1.07158,0.02008,0.0017228,0.0017228,0.0017228
9,3309.45,1.28486,0.77222,1.02586,0.03883,0.88032,0.78,0.88089,0.56816,1.15529,0.71339,1.06883,0.01924,0.0016832,0.0016832,0.0016832
10,3692.82,1.29557,0.793,1.03939,0.03773,0.87755,0.79061,0.8813,0.59878,1.01154,0.65033,1.03768,0.01819,0.0016436,0.0016436,0.0016436
11,4071.07,1.2726,0.77056,1.02945,0.03787,0.85854,0.75718,0.85543,0.56979,1.09401,0.74104,1.05195,0.01963,0.001604,0.001604,0.001604
12,4449.47,1.28579,0.786,1.0416,0.0376,0.88334,0.76883,0.86589,0.57408,1.10724,0.70324,1.07779,0.01993,0.0015644,0.0015644,0.0015644
13,4835.38,1.2614,0.7673,1.02865,0.03398,0.8897,0.76548,0.86912,0.58716,1.05034,0.69441,1.04195,0.01964,0.0015248,0.0015248,0.0015248
14,5221.51,1.2598,0.76073,1.00659,0.03726,0.8867,0.75061,0.86208,0.57567,1.06021,0.71319,1.04973,0.01942,0.0014852,0.0014852,0.0014852
15,5611,1.25595,0.7627,1.03063,0.03859,0.87548,0.79433,0.87772,0.59432,1.03308,0.67118,1.04228,0.01943,0.0014456,0.0014456,0.0014456
16,5995.68,1.24086,0.75617,1.00691,0.03535,0.8839,0.77339,0.87681,0.59136,1.03303,0.67392,1.03293,0.01785,0.001406,0.001406,0.001406
17,6384.38,1.22281,0.7337,1.00283,0.03295,0.87096,0.79044,0.88049,0.57488,1.09645,0.67364,1.04695,0.0189,0.0013664,0.0013664,0.0013664
18,6770.28,1.22283,0.7252,0.99913,0.03296,0.87831,0.75988,0.86456,0.59589,1.00865,0.68162,1.02896,0.01764,0.0013268,0.0013268,0.0013268
19,7165.2,1.19256,0.73183,0.99174,0.03273,0.90865,0.76832,0.8765,0.58223,1.07893,0.67903,1.04946,0.01867,0.0012872,0.0012872,0.0012872
20,7562.03,1.17746,0.71248,0.99862,0.03076,0.90641,0.75886,0.86623,0.57184,1.10094,0.69013,1.06547,0.01887,0.0012476,0.0012476,0.0012476
21,7960.44,1.19565,0.72209,1.00522,0.03296,0.89799,0.76402,0.86898,0.59358,1.02155,0.65092,1.03922,0.01857,0.001208,0.001208,0.001208
22,8364.08,1.21091,0.72209,0.99167,0.0321,0.88833,0.79027,0.87983,0.59486,1.02169,0.64205,1.03193,0.01764,0.0011684,0.0011684,0.0011684
23,8766.61,1.19523,0.71397,1.00304,0.03211,0.89616,0.77845,0.86618,0.58551,1.04812,0.65435,1.04516,0.01818,0.0011288,0.0011288,0.0011288
24,9169.9,1.21527,0.72392,1.00451,0.03313,0.89159,0.77907,0.87663,0.6045,0.99625,0.64821,1.02665,0.01836,0.0010892,0.0010892,0.0010892
25,9561.33,1.1957,0.71052,0.99872,0.03182,0.89822,0.79132,0.88513,0.59451,1.04418,0.65439,1.05017,0.01835,0.0010496,0.0010496,0.0010496
26,9930.29,1.17754,0.70071,0.97337,0.03088,0.88868,0.78997,0.88858,0.59961,1.04401,0.657,1.05053,0.01834,0.00101,0.00101,0.00101
27,10327.7,1.17757,0.70722,0.99046,0.03083,0.88633,0.78639,0.87947,0.60041,0.99826,0.644,1.02899,0.01835,0.0009704,0.0009704,0.0009704
28,10713.9,1.18263,0.70376,0.98116,0.03199,0.8779,0.74485,0.85588,0.58826,1.03157,0.6848,1.03738,0.01813,0.0009308,0.0009308,0.0009308
29,11080.4,1.15991,0.67931,0.98037,0.03118,0.8879,0.79399,0.88858,0.6018,1.03772,0.64541,1.04033,0.01809,0.0008912,0.0008912,0.0008912
30,11446.3,1.17494,0.69206,0.9981,0.03356,0.89762,0.79044,0.88211,0.58783,1.05258,0.64369,1.0305,0.01796,0.0008516,0.0008516,0.0008516
31,11817,1.17751,0.69261,0.98006,0.034,0.89026,0.7977,0.89262,0.6012,1.02031,0.6191,1.02793,0.01714,0.000812,0.000812,0.000812
32,12202.8,1.14998,0.68173,0.98597,0.0293,0.90861,0.78904,0.89285,0.60824,1.00585,0.62372,1.01862,0.01757,0.0007724,0.0007724,0.0007724
33,12568,1.14862,0.67039,0.96517,0.02941,0.90472,0.78407,0.89344,0.60734,1.01798,0.63061,1.02206,0.0168,0.0007328,0.0007328,0.0007328
34,12923.3,1.14674,0.66633,0.97006,0.03084,0.90873,0.78436,0.89096,0.59453,1.05211,0.61988,1.03352,0.0176,0.0006932,0.0006932,0.0006932
35,13272.6,1.14088,0.66815,0.9586,0.03233,0.89282,0.79838,0.89353,0.60937,0.99723,0.61638,1.01934,0.0166,0.0006536,0.0006536,0.0006536
36,13629.3,1.13704,0.66867,0.97142,0.02778,0.91242,0.80217,0.9007,0.61947,0.98678,0.59816,1.02981,0.01709,0.000614,0.000614,0.000614
37,13976,1.12448,0.65457,0.97034,0.02929,0.90672,0.79774,0.89887,0.60747,1.00887,0.61479,1.02696,0.01695,0.0005744,0.0005744,0.0005744
38,14363.3,1.09466,0.63622,0.96598,0.02714,0.90016,0.80688,0.9018,0.61917,0.98885,0.60012,1.02758,0.01646,0.0005348,0.0005348,0.0005348
39,14772.6,1.10564,0.63793,0.96055,0.027,0.90373,0.80716,0.90317,0.61494,0.98138,0.59575,1.01995,0.01631,0.0004952,0.0004952,0.0004952
40,15162.1,1.11709,0.64272,0.97149,0.02991,0.90832,0.81391,0.90736,0.63068,0.94947,0.57607,1.00691,0.01548,0.0004556,0.0004556,0.0004556
41,15557.6,1.11298,0.63877,0.97446,0.02645,0.89468,0.81195,0.90385,0.61946,0.97168,0.58677,1.0109,0.01572,0.000416,0.000416,0.000416
42,15952.1,1.08891,0.64414,0.97106,0.02712,0.90157,0.80496,0.90238,0.62457,0.95513,0.57629,1.01233,0.01566,0.0003764,0.0003764,0.0003764
43,16335.7,1.08485,0.63111,0.96927,0.02637,0.90755,0.80328,0.90499,0.60975,1.00552,0.58673,1.01943,0.016,0.0003368,0.0003368,0.0003368
44,16728.9,1.08247,0.61526,0.95319,0.02818,0.90593,0.81795,0.90895,0.62759,0.96725,0.56902,1.01026,0.01558,0.0002972,0.0002972,0.0002972
45,17103.1,1.09391,0.6242,0.9694,0.02715,0.91311,0.80226,0.90375,0.62673,0.9544,0.57382,1.00657,0.01537,0.0002576,0.0002576,0.0002576
46,17484.6,1.06496,0.6044,0.94836,0.02739,0.91524,0.80045,0.90473,0.62367,0.96453,0.57124,1.00604,0.0153,0.000218,0.000218,0.000218
47,17868.8,1.06554,0.6072,0.95656,0.02728,0.90883,0.80784,0.90617,0.62322,0.95576,0.56829,1.01364,0.0155,0.0001784,0.0001784,0.0001784
48,18251.8,1.05485,0.60841,0.94662,0.02643,0.90661,0.80157,0.90278,0.6248,0.95364,0.57192,1.00853,0.0152,0.0001388,0.0001388,0.0001388
49,18637.7,1.06221,0.60537,0.95388,0.02591,0.91589,0.81442,0.9129,0.63677,0.93701,0.55685,1.0032,0.01503,9.92e-05,9.92e-05,9.92e-05
50,19030.5,1.04604,0.59383,0.94167,0.02528,0.91351,0.80986,0.91134,0.63337,0.94059,0.55461,1.00349,0.01508,5.96e-05,5.96e-05,5.96e-05
